,Mesenchymal,Epithelial,Phenotypes
TCGA.02.0003.01,-0.292653724,0.0471003,Proneural
TCGA.02.0004.01,-0.193489818,-0.429760904,Mesenchymal
TCGA.02.0007.01,-1.168972556,0.404016929,Classical
TCGA.02.0009.01,-0.319185361,0.469732726,Classical
TCGA.02.0010.01,-0.976021559,0.23209198,Proneural
TCGA.02.0011.01,-0.885281131,-0.42622773,Proneural
TCGA.02.0014.01,-0.762686807,-0.519852291,Proneural
TCGA.02.0016.01,-0.635136381,-0.366583436,Classical
TCGA.02.0021.01,-0.986508951,0.383625092,Classical
TCGA.02.0023.01,-0.515404509,-0.300317059,Classical
TCGA.02.0024.01,-0.953321726,-0.07493837,Proneural
TCGA.02.0025.01,-0.242801475,-0.366081685,Mesenchymal
TCGA.02.0026.01,-0.578779087,-0.40717205,Proneural
TCGA.02.0027.01,-0.304100272,0.133351343,Classical
TCGA.02.0028.01,-0.378926439,0.102127224,Proneural
TCGA.02.0033.01,-0.630126158,0.201989272,Mesenchymal
TCGA.02.0034.01,-0.297010043,0.091407143,Mesenchymal
TCGA.02.0038.01,-1.099404742,-0.151169413,Classical
TCGA.02.0039.01,-0.402078799,-0.275541013,Mesenchymal
TCGA.02.0043.01,-0.392556709,0.336588723,Classical
TCGA.02.0046.01,-0.486866772,-0.0300139,Proneural
TCGA.02.0047.01,-1.193489818,0.25303166,Proneural
TCGA.02.0048.01,-0.644214696,-0.489828245,Proneural
TCGA.02.0051.01,-0.514107952,-0.43333713,Mesenchymal
TCGA.02.0054.01,-0.763541308,0.345240637,Mesenchymal
TCGA.02.0057.01,-0.467084685,0.323626395,Mesenchymal
TCGA.02.0059.01,-0.344141098,-0.410760795,Mesenchymal
TCGA.02.0060.01,-0.223168516,0.158998353,Proneural
TCGA.02.0064.01,-0.257762459,-0.376836519,Mesenchymal
TCGA.02.0069.01,-0.445247561,-0.421652118,Proneural
TCGA.02.0070.01,-0.45484548,-0.363186584,Classical
TCGA.02.0074.01,-0.482795616,-0.430182596,Proneural
TCGA.02.0075.01,-0.335600359,-0.442280513,Mesenchymal
TCGA.02.0079.01,-0.33626959,-0.246256775,Mesenchymal
TCGA.02.0080.01,-0.597654613,-0.450044528,Proneural
TCGA.02.0084.01,-0.326962443,-0.426412929,Proneural
TCGA.02.0085.01,-0.255618719,-0.337560631,Mesenchymal
TCGA.02.0086.01,-0.491159875,-0.411877507,Mesenchymal
TCGA.02.0087.01,-0.470503489,-0.396077644,Proneural
TCGA.02.0089.01,-0.452480694,-0.331721733,Neural
TCGA.02.0099.01,-0.292308353,-0.312304363,Mesenchymal
TCGA.02.0102.01,-0.492227565,-0.392919708,Classical
TCGA.02.0104.01,-0.75449324,-0.44295069,Proneural
TCGA.02.0106.01,-0.451420852,-0.438993222,Mesenchymal
TCGA.02.0107.01,-0.214998477,-0.323524077,Mesenchymal
TCGA.02.0111.01,-0.313370555,-0.356582636,Mesenchymal
TCGA.02.0113.01,-0.659269435,-0.417361759,Neural
TCGA.02.0114.01,-0.694797637,-0.51724039,Proneural
TCGA.02.0115.01,-0.537753663,-0.335738565,Neural
TCGA.02.0260.01,-0.678226836,-0.416997161,Classical
TCGA.02.0269.01,-0.629167354,-0.417018346,Classical
TCGA.02.0281.01,-0.641278442,-0.464926533,Proneural
TCGA.02.0285.01,-0.497106043,-0.365888026,Classical
TCGA.02.0289.01,-0.544234269,-0.358387002,Classical
TCGA.02.0290.01,-0.562989288,-0.308974431,Classical
TCGA.02.0317.01,-0.58886195,-0.351079752,Classical
TCGA.02.0321.01,-0.451968825,-0.334213884,Proneural
TCGA.02.0325.01,-0.508087146,-0.34614606,Proneural
TCGA.02.0326.01,-0.410978741,-0.301998806,Mesenchymal
TCGA.02.0333.01,-0.625786141,-0.342643591,Classical
TCGA.02.0337.01,-0.281011668,-0.300585011,Mesenchymal
TCGA.02.0338.01,-0.72937485,-0.485309133,Proneural
TCGA.02.0339.01,-0.647474657,-0.457224637,Proneural
TCGA.02.0422.01,-0.532623519,-0.375534483,Classical
TCGA.02.0430.01,-0.58127321,-0.377820605,Classical
TCGA.02.0432.01,-0.631559262,-0.475981598,Proneural
TCGA.02.0439.01,-0.505172723,-0.355429575,Proneural
TCGA.02.0440.01,-0.585300581,-0.415977123,Proneural
TCGA.02.0446.01,-0.466917612,-0.370379656,Proneural
TCGA.02.0451.01,-0.509986484,-0.366002205,Neural
TCGA.06.0122.01,-0.442281903,-0.363141367,Mesenchymal
TCGA.06.0124.01,-0.403380032,-0.393831481,Mesenchymal
TCGA.06.0125.01,-0.528253486,-0.391920295,Classical
TCGA.06.0126.01,-0.565302057,-0.397000413,Classical
TCGA.06.0128.01,-0.457406353,-0.453173248,Proneural
TCGA.06.0129.01,-0.533145562,-0.467179744,Proneural
TCGA.06.0130.01,-0.21538321,-0.478936208,Mesenchymal
TCGA.06.0132.01,-0.369218575,-0.327015245,Neural
TCGA.06.0133.01,-0.54365724,-0.361758673,Neural
TCGA.06.0137.01,-0.567521883,-0.376964621,Classical
TCGA.06.0138.01,-0.471827954,-0.372175275,Neural
TCGA.06.0139.01,-0.270683289,-0.408482492,Mesenchymal
TCGA.06.0143.01,-0.396134246,-0.386412968,Mesenchymal
TCGA.06.0145.01,-0.561229674,-0.354747037,Classical
TCGA.06.0146.01,-0.492996121,-0.444295045,Proneural
TCGA.06.0147.01,-0.236890075,-0.374595329,Mesenchymal
TCGA.06.0148.01,-0.493500094,-0.465463874,Classical
TCGA.06.0149.01,-0.471416281,-0.354192007,Mesenchymal
TCGA.06.0152.01,-0.510379873,-0.322029657,Mesenchymal
TCGA.06.0154.01,-0.407044344,-0.409975191,Mesenchymal
TCGA.06.0156.01,-0.462190408,-0.395682091,Proneural
TCGA.06.0160.01,-0.579490387,-0.3175663,Neural
TCGA.06.0162.01,-0.622599143,-0.36605697,Neural
TCGA.06.0164.01,-0.295307932,-0.361936304,Mesenchymal
TCGA.06.0166.01,-0.504359057,-0.345544933,Proneural
